Unidad,Parametro,A�o,Mes,D�a,Fecha,Valor,Area
mg/L,P tot.,2018,5,17,5/17/2018,0.2,AV10
mg/L,P tot.,2018,3,2,3/2/2018,0.1,AV10
mg/L,P tot.,2018,5,14,5/14/2018,0.2,CA10
NMP/100 ml,CF,2018,5,17,5/17/2018,1600,CL30
NMP/100 ml,CF,2018,5,17,5/17/2018,1600,RI10
uS/cm,Cond,2018,5,17,5/17/2018,586,ZA10
uS/cm,Cond,2018,5,17,5/17/2018,572,CL30
NMP/100 ml,CF,2018,5,17,5/17/2018,540,ZA10
uS/cm,Cond,2018,5,17,5/17/2018,493,RI10
uS/cm,Cond,2018,5,17,5/17/2018,263,AV10
uS/cm,Cond,2018,5,17,5/17/2018,248,CL20
uS/cm,Cond,2018,5,17,5/17/2018,125,CL10
mg/L,SO4,2018,5,17,5/17/2018,125,CL30
mg/L,SO4,2018,5,17,5/17/2018,106.6,ZA10
mg/L,SO4,2018,5,17,5/17/2018,89,RI10
mg/L,SO4,2018,5,17,5/17/2018,84.7,AV10
NMP/100 ml,CF,2018,5,17,5/17/2018,49,AV10
mg/L,SST,2018,5,17,5/17/2018,46.2,RI10
mg/L,CL-,2018,5,17,5/17/2018,42.14,CL30
mg/L,CL-,2018,5,17,5/17/2018,40.98,RI10
mg/L,SO4,2018,5,17,5/17/2018,40,CL20
mg/L,SST,2018,5,17,5/17/2018,34.4,CL30
mg/L,CL-,2018,5,17,5/17/2018,29.8,AV10
mg/L,CL-,2018,5,17,5/17/2018,25.94,ZA10
mg/L,CL-,2018,5,17,5/17/2018,25,CL10
mg/L,CL-,2018,5,17,5/17/2018,25,CL20
mg/L,SO4,2018,5,17,5/17/2018,20,CL10
mg/L,DQO,2018,5,17,5/17/2018,19,ZA10
mg/L,AyG,2018,5,17,5/17/2018,15,ZA10
mg/L,DQO,2018,5,17,5/17/2018,13,AV10
mg/L,N tot.,2018,5,17,5/17/2018,10.34,CL30
mg/L,N tot.,2018,5,17,5/17/2018,10.21,RI10
mg/L,AyG,2018,5,17,5/17/2018,10,AV10
mg/L,SST,2018,5,17,5/17/2018,10,AV10
mg/L,AyG,2018,5,17,5/17/2018,10,CL10
mg/L,SST,2018,5,17,5/17/2018,10,CL10
mg/L,AyG,2018,5,17,5/17/2018,10,CL20
mg/L,SST,2018,5,17,5/17/2018,10,CL20
mg/L,AyG,2018,5,17,5/17/2018,10,CL30
mg/L,DQO,2018,5,17,5/17/2018,10,CL30
mg/L,AyG,2018,5,17,5/17/2018,10,RI10
mg/L,SST,2018,5,17,5/17/2018,10,ZA10
mg/L,N-NO3,2018,5,17,5/17/2018,9.84516129,CL30
mg/L,N-NO3,2018,5,17,5/17/2018,9.822580645,RI10
mg/L,O Dis.,2018,5,17,5/17/2018,9.5,CL10
mg/L,O Dis.,2018,5,17,5/17/2018,8.7,AV10
mg/L,O Dis.,2018,5,17,5/17/2018,8.4,CL20
mg/L,O Dis.,2018,5,17,5/17/2018,8.4,ZA10
mg/L,N tot.,2018,5,17,5/17/2018,8.24,CL20
mg/L,N-NO3,2018,5,17,5/17/2018,8.219354839,CL20
mg/L,O Dis.,2018,5,17,5/17/2018,8.2,CL30
mg/L,O Dis.,2018,5,17,5/17/2018,8.1,RI10
Unid.ph,pH,2018,5,17,5/17/2018,7.9,CL30
Unid.ph,pH,2018,5,17,5/17/2018,7.9,RI10
Unid.ph,pH,2018,5,17,5/17/2018,7.8,CL20
Unid.ph,pH,2018,5,17,5/17/2018,7.7,ZA10
mg/L,N tot.,2018,5,17,5/17/2018,7.28,AV10
Unid.ph,pH,2018,5,17,5/17/2018,7.1,AV10
mg/L,N-NO3,2018,5,17,5/17/2018,6.977419355,AV10
Unid.ph,pH,2018,5,17,5/17/2018,6.7,CL10
mg/L,DQO,2018,5,17,5/17/2018,6,CL20
mg/L,DBO5,2018,5,17,5/17/2018,6,ZA10
mg/L,DQO,2018,5,17,5/17/2018,5,CL10
mg/L,DBO5,2018,5,17,5/17/2018,5,RI10
mg/L,N tot.,2018,5,17,5/17/2018,4.32,ZA10
mg/L,N-NO3,2018,5,17,5/17/2018,4.0151875,ZA10
mg/L,DBO5,2018,5,17,5/17/2018,4,AV10
mg/L,DQO,2018,5,17,5/17/2018,4,RI10
mg/L,DBO5,2018,5,17,5/17/2018,3,CL30
mg/L,N-NO3,2018,5,17,5/17/2018,2.890322581,CL10
mg/L,N tot.,2018,5,17,5/17/2018,2.89,CL10
mg/L,DBO5,2018,5,17,5/17/2018,2,CL10
mg/L,DBO5,2018,5,17,5/17/2018,2,CL20
NMP/100 ml,CF,2018,5,17,5/17/2018,1.8,CL10
NMP/100 ml,CF,2018,5,17,5/17/2018,1.8,CL20
mg/L,N-NH4,2018,5,17,5/17/2018,0.81,RI10
mg/L,N-NH4,2018,5,17,5/17/2018,0.32,ZA10
mg/L,P tot.,2018,2,27,2/27/2018,0.28,CA10
mg/L,P tot.,2018,1,24,1/24/2018,0.74,CA10
mg/L,P tot.,2018,5,14,5/14/2018,0.2,CA20
mg/L,P tot.,2018,2,27,2/27/2018,0.1,CA20
mg/L,P tot.,2018,5,14,5/14/2018,1.54,CA30
mg/L,P tot.,2018,2,27,2/27/2018,0.1,CA30
mg/L,N-NH4,2018,5,17,5/17/2018,0.19,CL30
mg/L,N-NH4,2018,5,17,5/17/2018,0.12,AV10
mg/L,N-NH4,2018,5,17,5/17/2018,0.06,CL10
mg/L,N-NH4,2018,5,17,5/17/2018,0.04,CL20
mg/L,N-NO2,2018,5,17,5/17/2018,0.025375,CL20
mg/L,N-NO2,2018,5,17,5/17/2018,0.0048125,AV10
mg/L,N-NO2,2018,5,17,5/17/2018,0.0048125,CL10
mg/L,N-NO2,2018,5,17,5/17/2018,0.0048125,CL30
mg/L,N-NO2,2018,5,17,5/17/2018,0.0048125,RI10
mg/L,N-NO2,2018,5,17,5/17/2018,0.0048125,ZA10
NMP/100 ml,CF,2018,5,16,5/16/2018,920,RA10
uS/cm,Cond,2018,5,16,5/16/2018,392,RA10
uS/cm,Cond,2018,5,16,5/16/2018,299,TI30
mg/L,SO4,2018,5,16,5/16/2018,200,RA10
mg/L,SO4,2018,5,16,5/16/2018,102,TI30
mg/L,CL-,2018,5,16,5/16/2018,91,TI30
NMP/100 ml,CF,2018,5,16,5/16/2018,70,TI30
mg/L,CL-,2018,5,16,5/16/2018,35.68,RA10
mg/L,SST,2018,5,16,5/16/2018,23.4,TI30
mg/L,DQO,2018,5,16,5/16/2018,11,TI30
mg/L,AyG,2018,5,16,5/16/2018,10,RA10
mg/L,DQO,2018,5,16,5/16/2018,10,RA10
mg/L,SST,2018,5,16,5/16/2018,10,RA10
mg/L,AyG,2018,5,16,5/16/2018,10,TI30
mg/L,O Dis.,2018,5,16,5/16/2018,9.3,RA10
mg/L,O Dis.,2018,5,16,5/16/2018,8.4,TI30
Unid.ph,pH,2018,5,16,5/16/2018,7.2,RA10
Unid.ph,pH,2018,5,16,5/16/2018,6.7,TI30
mg/L,N tot.,2018,5,16,5/16/2018,6.22,TI30
mg/L,N-NO3,2018,5,16,5/16/2018,6.209677419,TI30
mg/L,N tot.,2018,5,16,5/16/2018,5.15,RA10
mg/L,N-NO3,2018,5,16,5/16/2018,5.148387097,RA10
mg/L,DBO5,2018,5,16,5/16/2018,4,TI30
mg/L,DBO5,2018,5,16,5/16/2018,3,RA10
mg/L,P tot.,2018,5,14,5/14/2018,0.54,CA40
mg/L,N-NH4,2018,5,16,5/16/2018,0.23,RA10
mg/L,P tot.,2018,2,27,2/27/2018,0.1,CA40
mg/L,N-NH4,2018,5,16,5/16/2018,0.07,TI30
mg/L,N-NO2,2018,5,16,5/16/2018,0.0170625,TI30
mg/L,N-NO2,2018,5,16,5/16/2018,0.0048125,RA10
NMP/100 ml,CF,2018,5,15,5/15/2018,1600,CH10
NMP/100 ml,CF,2018,5,15,5/15/2018,920,CH20
NMP/100 ml,CF,2018,5,15,5/15/2018,540,CL10-TI
uS/cm,Cond,2018,5,15,5/15/2018,475,LC10
uS/cm,Cond,2018,5,15,5/15/2018,302,CH20
uS/cm,Cond,2018,5,15,5/15/2018,284,CH10
uS/cm,Cond,2018,5,15,5/15/2018,272,TI10
uS/cm,Cond,2018,5,15,5/15/2018,263,TI20
mg/L,SST,2018,5,15,5/15/2018,151,LC10
mg/L,SO4,2018,5,15,5/15/2018,138,TI10
NMP/100 ml,CF,2018,5,15,5/15/2018,130,TI20
mg/L,SO4,2018,5,15,5/15/2018,106,CH10
mg/L,SO4,2018,5,15,5/15/2018,99,TI20
mg/L,SO4,2018,5,15,5/15/2018,96,CH20
uS/cm,Cond,2018,5,15,5/15/2018,88,CL10-TI
NMP/100 ml,CF,2018,5,15,5/15/2018,79,LC10
mg/L,DQO,2018,5,15,5/15/2018,38,TI10
mg/L,SST,2018,5,15,5/15/2018,38,TI10
mg/L,CL-,2018,5,15,5/15/2018,34.41,CH10
mg/L,DQO,2018,5,15,5/15/2018,34,CH20
mg/L,DQO,2018,5,15,5/15/2018,34,CL10-TI
mg/L,SST,2018,5,15,5/15/2018,30,CH20
mg/L,DQO,2018,5,15,5/15/2018,29,TI20
mg/L,CL-,2018,5,15,5/15/2018,25,CH20
mg/L,CL-,2018,5,15,5/15/2018,25,CL10-TI
mg/L,CL-,2018,5,15,5/15/2018,25,TI10
mg/L,CL-,2018,5,15,5/15/2018,25,TI20
mg/L,DQO,2018,5,15,5/15/2018,24,CH10
mg/L,SO4,2018,5,15,5/15/2018,22,CL10-TI
mg/L,SST,2018,5,15,5/15/2018,13.2,CH10
mg/L,N tot.,2018,5,15,5/15/2018,11.7,LC10
mg/L,AyG,2018,5,15,5/15/2018,10,CH10
mg/L,AyG,2018,5,15,5/15/2018,10,CH20
mg/L,AyG,2018,5,15,5/15/2018,10,CL10-TI
mg/L,SST,2018,5,15,5/15/2018,10,CL10-TI
mg/L,AyG,2018,5,15,5/15/2018,10,LC10
mg/L,AyG,2018,5,15,5/15/2018,10,TI10
mg/L,DBO5,2018,5,15,5/15/2018,10,TI10
mg/L,AyG,2018,5,15,5/15/2018,10,TI20
mg/L,SST,2018,5,15,5/15/2018,10,TI20
mg/L,N tot.,2018,5,15,5/15/2018,9.48,CH20
mg/L,O Dis.,2018,5,15,5/15/2018,9.3,CL10-TI
mg/L,DBO5,2018,5,15,5/15/2018,9,CH20
mg/L,DBO5,2018,5,15,5/15/2018,9,CL10-TI
mg/L,DBO5,2018,5,15,5/15/2018,9,TI20
mg/L,O Dis.,2018,5,15,5/15/2018,8.9,CH10
mg/L,O Dis.,2018,5,15,5/15/2018,8.9,TI20
mg/L,N-NO3,2018,5,15,5/15/2018,8.851612903,LC10
mg/L,O Dis.,2018,5,15,5/15/2018,8.7,CH20
mg/L,O Dis.,2018,5,15,5/15/2018,8.3,TI10
mg/L,O Dis.,2018,5,15,5/15/2018,8.2,LC10
mg/L,DBO5,2018,5,15,5/15/2018,8,CH10
Unid.ph,pH,2018,5,15,5/15/2018,7.9,CL10-TI
mg/L,N-NO3,2018,5,15,5/15/2018,7.880645161,CH20
Unid.ph,pH,2018,5,15,5/15/2018,7.4,TI20
Unid.ph,pH,2018,5,15,5/15/2018,7.3,CH20
Unid.ph,pH,2018,5,15,5/15/2018,7.1,LC10
mg/L,DQO,2018,5,15,5/15/2018,7,LC10
Unid.ph,pH,2018,5,15,5/15/2018,6.8,CH10
Unid.ph,pH,2018,5,15,5/15/2018,6.8,TI10
mg/L,N-NO3,2018,5,15,5/15/2018,6.706451613,CH10
mg/L,N tot.,2018,5,15,5/15/2018,6.22,CH10
mg/L,N-NH4,2018,5,15,5/15/2018,5.43,LC10
mg/L,N tot.,2018,5,15,5/15/2018,4.39,TI20
mg/L,N-NO3,2018,5,15,5/15/2018,4.290322581,TI20
mg/L,N tot.,2018,5,15,5/15/2018,4.11,CL10-TI
NMP/100 ml,CF,2018,5,15,5/15/2018,4,TI10
mg/L,DBO5,2018,5,15,5/15/2018,3,LC10
mg/L,N tot.,2018,5,15,5/15/2018,2.72,TI10
mg/L,N-NO3,2018,5,15,5/15/2018,2.664516129,TI10
mg/L,N-NO3,2018,5,15,5/15/2018,2.574193548,CL10-TI
mg/L,N-NH4,2018,5,15,5/15/2018,2.4,CH20
mg/L,P tot.,2018,5,14,5/14/2018,0.39,CA50
mg/L,P tot.,2018,2,27,2/27/2018,0.1,CA50
mg/L,Fe,2018,5,15,5/15/2018,321,TI10
mg/L,P tot.,2018,5,14,5/14/2018,0.38,CA60
mg/L,P tot.,2018,2,27,2/27/2018,0.05,CA60
mg/L,N-NH4,2018,5,15,5/15/2018,0.27,CH10
mg/L,P tot.,2018,5,15,5/15/2018,0.31,CH10
mg/L,P tot.,2018,2,28,2/28/2018,0.05,CH10
mg/L,N-NH4,2018,5,15,5/15/2018,0.14,TI10
mg/L,Zn,2018,5,15,5/15/2018,0.12,TI10
mg/L,N-NH4,2018,5,15,5/15/2018,0.11,TI20
mg/L,N-NH4,2018,5,15,5/15/2018,0.09,CL10-TI
mg/L,Al,2018,5,15,5/15/2018,0.09,TI10
mg/L,Cu,2018,5,15,5/15/2018,61,TI10
mg/L,N-NO2,2018,5,15,5/15/2018,0.048125,LC10
mg/L,N-NO2,2018,5,15,5/15/2018,0.028875,TI20
mg/L,Mn,2018,5,15,5/15/2018,25,TI10
mg/L,N-NO2,2018,5,15,5/15/2018,0.01925,TI10
mg/L,Mo,2018,5,15,5/15/2018,0.01,TI10
mg/L,N-NO2,2018,5,15,5/15/2018,0.0048125,CH10
mg/L,N-NO2,2018,5,15,5/15/2018,0.0048125,CH20
mg/L,N-NO2,2018,5,15,5/15/2018,0.0048125,CL10-TI
mg/L,As,2018,5,15,5/15/2018,0.0022,TI10
NMP/100 ml,CF,2018,5,14,5/14/2018,1600,CA40
NMP/100 ml,CF,2018,5,14,5/14/2018,1600,CA50
NMP/100 ml,CF,2018,5,14,5/14/2018,920,CA60
uS/cm,Cond,2018,5,14,5/14/2018,785,CA40
uS/cm,Cond,2018,5,14,5/14/2018,584,CA30
uS/cm,Cond,2018,5,14,5/14/2018,462,CA10
uS/cm,Cond,2018,5,14,5/14/2018,410,CA50
uS/cm,Cond,2018,5,14,5/14/2018,398,CA60
mg/L,SO4,2018,5,14,5/14/2018,396,CA50
mg/L,SST,2018,5,14,5/14/2018,381,CA30
uS/cm,Cond,2018,5,14,5/14/2018,375,CA20
NMP/100 ml,CF,2018,5,14,5/14/2018,300,CA20
mg/L,SO4,2018,5,14,5/14/2018,166,CA10
mg/L,SO4,2018,5,14,5/14/2018,156,CA30
mg/L,SO4,2018,5,14,5/14/2018,155,CA40
mg/L,SO4,2018,5,14,5/14/2018,115,CA20
mg/L,SST,2018,5,14,5/14/2018,115,CA60
mg/L,SO4,2018,5,14,5/14/2018,105,CA60
mg/L,CL-,2018,5,14,5/14/2018,90.01,CA10
mg/L,CL-,2018,5,14,5/14/2018,89.01,CA30
mg/L,CL-,2018,5,14,5/14/2018,79.74,CA40
mg/L,CL-,2018,5,14,5/14/2018,57.43,CA20
mg/L,SST,2018,5,14,5/14/2018,54.4,CA40
mg/L,CL-,2018,5,14,5/14/2018,39.14,CA50
mg/L,CL-,2018,5,14,5/14/2018,38.38,CA60
mg/L,SST,2018,5,14,5/14/2018,33.2,CA50
NMP/100 ml,CF,2018,5,14,5/14/2018,33,CA30
mg/L,DQO,2018,5,14,5/14/2018,27,CA30
mg/L,DQO,2018,5,14,5/14/2018,20,CA50
mg/L,AyG,2018,5,14,5/14/2018,14,CA20
mg/L,DQO,2018,5,14,5/14/2018,14,CA40
mg/L,DQO,2018,5,14,5/14/2018,14,CA60
mg/L,DQO,2018,5,14,5/14/2018,12,CA10
mg/L,N tot.,2018,5,14,5/14/2018,11.11,CA40
mg/L,N-NO3,2018,5,14,5/14/2018,11.10967742,CA40
mg/L,AyG,2018,5,14,5/14/2018,10,CA10
mg/L,SST,2018,5,14,5/14/2018,10,CA10
mg/L,SST,2018,5,14,5/14/2018,10,CA20
mg/L,AyG,2018,5,14,5/14/2018,10,CA30
mg/L,AyG,2018,5,14,5/14/2018,10,CA40
mg/L,AyG,2018,5,14,5/14/2018,10,CA50
mg/L,AyG,2018,5,14,5/14/2018,10,CA60
mg/L,O Dis.,2018,5,14,5/14/2018,9.8,CA10
mg/L,O Dis.,2018,5,14,5/14/2018,8.9,CA20
mg/L,O Dis.,2018,5,14,5/14/2018,8.9,CA60
mg/L,N-NO3,2018,5,14,5/14/2018,8.783870968,CA60
mg/L,N tot.,2018,5,14,5/14/2018,8.78,CA60
mg/L,O Dis.,2018,5,14,5/14/2018,8.7,CA50
mg/L,N tot.,2018,5,14,5/14/2018,8.61,CA50
mg/L,O Dis.,2018,5,14,5/14/2018,8.6,CA40
mg/L,O Dis.,2018,5,14,5/14/2018,8.4,CA30
mg/L,N-NO3,2018,5,14,5/14/2018,8.309677419,CA50
mg/L,DBO5,2018,5,14,5/14/2018,8,CA30
mg/L,DBO5,2018,5,14,5/14/2018,8,CA50
Unid.ph,pH,2018,5,14,5/14/2018,7.1,CA50
Unid.ph,pH,2018,5,14,5/14/2018,7,CA20
Unid.ph,pH,2018,5,14,5/14/2018,7,CA40
Unid.ph,pH,2018,5,14,5/14/2018,6.9,CA10
Unid.ph,pH,2018,5,14,5/14/2018,6.9,CA60
Unid.ph,pH,2018,5,14,5/14/2018,6.7,CA30
mg/L,N tot.,2018,5,14,5/14/2018,6.64,CA20
mg/L,DQO,2018,5,14,5/14/2018,6,CA20
mg/L,N-NO3,2018,5,14,5/14/2018,5.532258065,CA20
mg/L,DBO5,2018,5,14,5/14/2018,5,CA40
mg/L,N-NH4,2018,5,14,5/14/2018,4.04,CA40
mg/L,DBO5,2018,5,14,5/14/2018,4,CA10
mg/L,DBO5,2018,5,14,5/14/2018,4,CA60
mg/L,N tot.,2018,5,14,5/14/2018,3.89,CA30
mg/L,N-NO3,2018,5,14,5/14/2018,3.861290323,CA30
mg/L,N tot.,2018,5,14,5/14/2018,3.41,CA10
mg/L,N-NO3,2018,5,14,5/14/2018,3.409677419,CA10
mg/L,DBO5,2018,5,14,5/14/2018,3,CA20
NMP/100 ml,CF,2018,5,14,5/14/2018,1.8,CA10
mg/L,P tot.,2018,5,15,5/15/2018,0.57,CH20
mg/L,N-NH4,2018,5,14,5/14/2018,0.63,CA10
mg/L,P tot.,2018,2,28,2/28/2018,0.4,CH20
mg/L,Fe,2018,5,14,5/14/2018,451,CA10
mg/L,P tot.,2018,5,17,5/17/2018,0.2,CL10
mg/L,P tot.,2018,3,2,3/2/2018,0.05,CL10
mg/L,N-NH4,2018,5,14,5/14/2018,0.37,CA60
mg/L,Fe,2018,5,14,5/14/2018,341,CA20
mg/L,N-NH4,2018,5,14,5/14/2018,0.22,CA30
mg/L,P tot.,2018,5,15,5/15/2018,0.2,CL10-TI
mg/L,P tot.,2018,2,28,2/28/2018,0.05,CL10-ti
mg/L,Zn,2018,5,14,5/14/2018,0.14,CA20
mg/L,N-NH4,2018,5,14,5/14/2018,0.13,CA50
mg/L,Zn,2018,5,14,5/14/2018,0.11,CA10
mg/L,Al,2018,5,14,5/14/2018,0.09,CA10
mg/L,Al,2018,5,14,5/14/2018,0.09,CA20
mg/L,N-NH4,2018,5,14,5/14/2018,0.07,CA20
mg/L,Cu,2018,5,14,5/14/2018,59,CA20
mg/L,Cu,2018,5,14,5/14/2018,55,CA10
mg/L,N-NO2,2018,5,14,5/14/2018,0.03675,CA30
mg/L,As,2018,5,14,5/14/2018,31,CA20
mg/L,As,2018,5,14,5/14/2018,27,CA10
mg/L,Mn,2018,5,14,5/14/2018,25,CA10
mg/L,Mn,2018,5,14,5/14/2018,25,CA20
mg/L,N-NO2,2018,5,14,5/14/2018,0.0153125,CA20
mg/L,Mo,2018,5,14,5/14/2018,0.01,CA10
mg/L,Mo,2018,5,14,5/14/2018,0.01,CA20
mg/L,N-NO2,2018,5,14,5/14/2018,0.0048125,CA10
mg/L,N-NO2,2018,5,14,5/14/2018,0.0048125,CA40
mg/L,N-NO2,2018,5,14,5/14/2018,0.0048125,CA50
mg/L,N-NO2,2018,5,14,5/14/2018,0.0048125,CA60
NMP/100 ml,CF,2018,3,2,3/2/2018,1600,CL20
NMP/100 ml,CF,2018,3,2,3/2/2018,1600,CL30
NMP/100 ml,CF,2018,3,2,3/2/2018,700,ZA10
uS/cm,Cond,2018,3,2,3/2/2018,684,CL30
uS/cm,Cond,2018,3,2,3/2/2018,595,RI10
uS/cm,Cond,2018,3,2,3/2/2018,535,ZA10
uS/cm,Cond,2018,3,2,3/2/2018,454,AV10
uS/cm,Cond,2018,3,2,3/2/2018,445,CL20
mg/L,SO4,2018,3,2,3/2/2018,120,CL30
uS/cm,Cond,2018,3,2,3/2/2018,102,CL10
mg/L,SO4,2018,3,2,3/2/2018,92,RI10
mg/L,SO4,2018,3,2,3/2/2018,86,CL20
NMP/100 ml,CF,2018,3,2,3/2/2018,70,RI10
mg/L,SO4,2018,3,2,3/2/2018,66,AV10
mg/L,SO4,2018,3,2,3/2/2018,66,ZA10
mg/L,CL-,2018,3,2,3/2/2018,48.7,CL30
mg/L,SST,2018,3,2,3/2/2018,46.1,CL20
mg/L,SST,2018,3,2,3/2/2018,43.6,RI10
mg/L,CL-,2018,3,2,3/2/2018,35.2,RI10
mg/L,SST,2018,3,2,3/2/2018,30.4,ZA10
mg/L,CL-,2018,3,2,3/2/2018,29.6,CL20
mg/L,SST,2018,3,2,3/2/2018,28.4,CL30
mg/L,CL-,2018,3,2,3/2/2018,26,ZA10
mg/L,CL-,2018,3,2,3/2/2018,25,AV10
mg/L,CL-,2018,3,2,3/2/2018,25,CL10
NMP/100 ml,CF,2018,3,2,3/2/2018,23,AV10
mg/L,SO4,2018,3,2,3/2/2018,23,CL10
mg/L,O Dis.,2018,3,2,3/2/2018,10.9,ZA10
mg/L,O Dis.,2018,3,2,3/2/2018,10.8,AV10
mg/L,N tot.,2018,3,2,3/2/2018,10.55,CL30
mg/L,N tot.,2018,3,2,3/2/2018,10.3,RI10
mg/L,O Dis.,2018,3,2,3/2/2018,10.1,RI10
mg/L,AyG,2018,3,2,3/2/2018,10,AV10
mg/L,SST,2018,3,2,3/2/2018,10,AV10
mg/L,AyG,2018,3,2,3/2/2018,10,CL10
mg/L,SST,2018,3,2,3/2/2018,10,CL10
mg/L,AyG,2018,3,2,3/2/2018,10,CL20
mg/L,AyG,2018,3,2,3/2/2018,10,CL30
mg/L,O Dis.,2018,3,2,3/2/2018,10,CL30
mg/L,AyG,2018,3,2,3/2/2018,10,RI10
mg/L,AyG,2018,3,2,3/2/2018,10,ZA10
mg/L,O Dis.,2018,3,2,3/2/2018,9.8,CL20
mg/L,N-NO3,2018,3,2,3/2/2018,9.31,CL30
mg/L,N-NO3,2018,3,2,3/2/2018,8.63,RI10
Unid.ph,pH,2018,3,2,3/2/2018,8.6,CL10
mg/L,N tot.,2018,3,2,3/2/2018,8.54,AV10
Unid.ph,pH,2018,3,2,3/2/2018,8.2,ZA10
mg/L,N tot.,2018,3,2,3/2/2018,7.98,ZA10
Unid.ph,pH,2018,3,2,3/2/2018,7.9,CL30
Unid.ph,pH,2018,3,2,3/2/2018,7.9,RI10
Unid.ph,pH,2018,3,2,3/2/2018,7.7,AV10
Unid.ph,pH,2018,3,2,3/2/2018,7.6,CL20
mg/L,N tot.,2018,3,2,3/2/2018,7.4,CL20
mg/L,N-NO3,2018,3,2,3/2/2018,7.27,AV10
mg/L,N-NO3,2018,3,2,3/2/2018,6.73,ZA10
mg/L,N-NO3,2018,3,2,3/2/2018,6.64,CL20
mg/L,DQO,2018,3,2,3/2/2018,4.1,RI10
mg/L,Fe,2018,3,2,3/2/2018,2.69,CL10
mg/L,DBO5,2018,3,2,3/2/2018,2,AV10
mg/L,DBO5,2018,3,2,3/2/2018,2,CL10
mg/L,DBO5,2018,3,2,3/2/2018,2,CL20
mg/L,DBO5,2018,3,2,3/2/2018,2,CL30
mg/L,DBO5,2018,3,2,3/2/2018,2,RI10
mg/L,DBO5,2018,3,2,3/2/2018,2,ZA10
NMP/100 ml,CF,2018,3,2,3/2/2018,1.8,CL10
mg/L,Fe,2018,3,2,3/2/2018,1745,CL20
mg/L,DQO,2018,3,2,3/2/2018,1.7,CL30
mg/L,Al,2018,3,2,3/2/2018,1.34,CL20
mg/L,Fe,2018,3,2,3/2/2018,1267,RI10
mg/L,Al,2018,3,2,3/2/2018,1.06,RI10
mg/L,Fe,2018,3,2,3/2/2018,1021,CL30
mg/L,N tot.,2018,3,2,3/2/2018,1015,CL10
mg/L,DQO,2018,3,2,3/2/2018,1,AV10
mg/L,DQO,2018,3,2,3/2/2018,1,CL10
mg/L,DQO,2018,3,2,3/2/2018,1,CL20
mg/L,DQO,2018,3,2,3/2/2018,1,ZA10
mg/L,Al,2018,3,2,3/2/2018,0.86,CL30
mg/L,Al,2018,3,2,3/2/2018,0.84,ZA10
mg/L,N-NO3,2018,3,2,3/2/2018,0.79,CL10
mg/L,Fe,2018,3,2,3/2/2018,638,ZA10
mg/L,Al,2018,3,2,3/2/2018,0.6,CL10
mg/L,Al,2018,3,2,3/2/2018,0.34,AV10
mg/L,N-NH4,2018,3,2,3/2/2018,258,CL20
mg/L,N-NH4,2018,3,2,3/2/2018,201,RI10
mg/L,N-NO2,2018,3,2,3/2/2018,0.19,RI10
mg/L,Zn,2018,3,2,3/2/2018,0.17,CL10
mg/L,Zn,2018,3,2,3/2/2018,0.15,ZA10
mg/L,P tot.,2018,5,17,5/17/2018,0.2,CL20
mg/L,P tot.,2018,3,2,3/2/2018,0.05,CL20
mg/L,P tot.,2018,5,17,5/17/2018,0.2,CL30
mg/L,P tot.,2018,3,2,3/2/2018,0.05,CL30
mg/L,P tot.,2018,5,15,5/15/2018,0.7,LC10
mg/L,Mn,2018,3,2,3/2/2018,85,RI10
mg/L,Mn,2018,3,2,3/2/2018,77,ZA10
mg/L,Zn,2018,3,2,3/2/2018,0.07,AV10
mg/L,Mn,2018,3,2,3/2/2018,0.07,CL20
mg/L,Zn,2018,3,2,3/2/2018,0.07,CL20
mg/L,Zn,2018,3,2,3/2/2018,0.07,CL30
mg/L,Zn,2018,3,2,3/2/2018,0.07,RI10
mg/L,N-NH4,2018,3,2,3/2/2018,0.07,ZA10
mg/L,Cu,2018,3,2,3/2/2018,67,CL10
mg/L,N-NH4,2018,3,2,3/2/2018,67,CL30
mg/L,Fe,2018,3,2,3/2/2018,0.0607,AV10
mg/L,N-NH4,2018,3,2,3/2/2018,51,AV10
mg/L,Mn,2018,3,2,3/2/2018,35,CL30
mg/L,Mn,2018,3,2,3/2/2018,29,CL10
mg/L,Mn,2018,3,2,3/2/2018,27,AV10
mg/L,Cu,2018,3,2,3/2/2018,26,CL20
mg/L,N-NO2,2018,3,2,3/2/2018,0.02,CL30
mg/L,Cu,2018,3,2,3/2/2018,18,RI10
mg/L,N-NO2,2018,3,2,3/2/2018,13,AV10
mg/L,N-NH4,2018,3,2,3/2/2018,13,CL10
mg/L,Cu,2018,3,2,3/2/2018,12,ZA10
mg/L,As,2018,3,2,3/2/2018,0.0102,CL20
mg/L,Cu,2018,3,2,3/2/2018,0.01,AV10
mg/L,Cu,2018,3,2,3/2/2018,0.01,CL30
mg/L,N-NO2,2018,3,2,3/2/2018,9,CL20
mg/L,N-NO2,2018,3,2,3/2/2018,6,ZA10
mg/L,As,2018,3,2,3/2/2018,0.0057,CL30
mg/L,As,2018,3,2,3/2/2018,0.0051,RI10
mg/L,As,2018,3,2,3/2/2018,0.0046,CL10
mg/L,As,2018,3,2,3/2/2018,0.0035,ZA10
mg/L,N-NO2,2018,3,2,3/2/2018,3,CL10
mg/L,As,2018,3,2,3/2/2018,0.0023,AV10
